欧美剧,#genre#
倒计时2025,https://v14.qdhdcate.com/yyv14/202506/25/5AYAwvJxqS22/video/index.m3u8#第02集$https://v14.qdhdcate.com/yyv14/202506/25/N0T7W3Dj8s20/video/index.m3u8#第03集$https://v14.qdhdcate.com/yyv14/202506/25/Dyi7ExHrQe20/video/index.m3u8#第04集$https://v13.qdhdcate.com/yyv13/202507/02/ixTHE4U4mt24/video/index.m3u8#第05集$https://v13.qdhdcate.com/yyv13/202507/09/EyBt1Q854E23/video/index.m3u8#第06集$https://v14.qdhdcate.com/yyv14/202507/16/eYgefhx20N19/video/index.m3u8#第07集$https://v13.qdhdcate.com/yyv13/202507/23/spp2wjmFpt22/video/index.m3u8#第08集$https://v13.qdhdcate.com/yyv13/202507/30/auP7S4qaup23/video/index.m3u8#第09集$https://v14.qdhdcate.com/yyv14/202508/06/KFTyqJ2f5h22/video/index.m3u8#第10集$https://v14.qdhdcate.com/yyv14/202508/13/B1jwJfdJ1L24/video/index.m3u8#第11集$https://v14.qdhdcate.com/yyv14/202508/20/TWK18806jZ24/video/index.m3u8#第12集$https://v14.qdhdcate.com/yyv14/202508/27/2fe3zw3Nv919/video/index.m3u8#第13集$https://v14.qdhdcate.com/yyv14/202509/03/v5ERBx0QBK19/video/index.m3u8
海军罪案调查处：欧洲喋血篇,https://v13.qdhdcate.com/yyv13/202509/09/iGuZtbiYmD20/video/index.m3u8
报社第一季,https://v14.qdhdcate.com/yyv14/202509/05/YzBHuuf16Q24/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202509/05/jGdyGiv4jp23/video/index.m3u8#第03集$https://v14.qdhdcate.com/yyv14/202509/05/8uTMHZDTdq20/video/index.m3u8#第04集$https://v13.qdhdcate.com/yyv13/202509/05/PNN99sn77324/video/index.m3u8#第05集$https://v13.qdhdcate.com/yyv13/202509/05/eFazEyKt5G24/video/index.m3u8#第06集$https://v13.qdhdcate.com/yyv13/202509/05/znNw3ar7bc22/video/index.m3u8#第07集$https://v13.qdhdcate.com/yyv13/202509/05/aK4x2KXbL421/video/index.m3u8#第08集$https://v13.qdhdcate.com/yyv13/202509/05/GvApiwU14D20/video/index.m3u8#第09集$https://v14.qdhdcate.com/yyv14/202509/05/SYFTi89Ny719/video/index.m3u8#第10集$https://v13.qdhdcate.com/yyv13/202509/05/qvUFGLCbKK22/video/index.m3u8
阿曼达·诺克斯杀人疑案,https://v14.qdhdcate.com/yyv14/202508/20/iAF4JSCCf420/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202508/20/ZS49qqKpwd22/video/index.m3u8#第03集$https://v13.qdhdcate.com/yyv13/202508/27/qaV6N8n0xa23/video/index.m3u8#第04集$https://v14.qdhdcate.com/yyv14/202509/03/cPQdLjh3TT19/video/index.m3u8
我变美的那夏天第三季,https://v14.qdhdcate.com/yyv14/202507/16/vQ18KtL0Ez20/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202507/16/vef3VBdMT521/video/index.m3u8#第03集$https://v13.qdhdcate.com/yyv13/202507/23/Ywkmg2Ar3721/video/index.m3u8#第04集$https://v14.qdhdcate.com/yyv14/202507/30/P5DMkiw9JJ23/video/index.m3u8#第05集$https://v14.qdhdcate.com/yyv14/202508/06/vCCg8xYCCe23/video/index.m3u8#第06集$https://v13.qdhdcate.com/yyv13/202508/13/E3iDwi6rDb24/video/index.m3u8#第07集$https://v14.qdhdcate.com/yyv14/202508/20/RTFwZJvak921/video/index.m3u8#第08集$https://v13.qdhdcate.com/yyv13/202508/27/Ha9M2hmZQ523/video/index.m3u8#第09集$https://v14.qdhdcate.com/yyv14/202509/03/PTm3jL7Cqa19/video/index.m3u8
终极名单：黑狼,https://v13.qdhdcate.com/yyv13/202508/27/8RxzDJAxiH19/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202508/27/QLiMccZVKi24/video/index.m3u8#第03集$https://v13.qdhdcate.com/yyv13/202508/27/Yh58UH8QjM21/video/index.m3u8#第04集$https://v13.qdhdcate.com/yyv13/202509/03/R9uEAmeVz622/video/index.m3u8
嗜血法医：杀魔复生第一季,https://v14.qdhdcate.com/yyv14/202507/12/pDDFDCZiP719/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202507/12/1tetnF1dpF22/video/index.m3u8#第03集$https://v14.qdhdcate.com/yyv14/202507/19/4ZW6gJ60gB23/video/index.m3u8#第04集$https://v13.qdhdcate.com/yyv13/202507/25/CmKu3iS6XV24/video/index.m3u8#第05集$https://v13.qdhdcate.com/yyv13/202508/01/ZY1EZMFicJ21/video/index.m3u8#第06集$https://v14.qdhdcate.com/yyv14/202508/08/gkm7SsTFsN19/video/index.m3u8#第07集$https://v14.qdhdcate.com/yyv14/202508/15/jnfQCu3gtR22/video/index.m3u8#第08集$https://v14.qdhdcate.com/yyv14/202508/23/YdUCKSDP6h20/video/index.m3u8#第09集$https://v13.qdhdcate.com/yyv13/202508/29/dqLRmrsMv422/video/index.m3u8#第10集$https://v14.qdhdcate.com/yyv14/202509/05/himzJKvEad19/video/index.m3u8
造雨人(剧版),https://v14.qdhdcate.com/yyv14/202508/16/ctkEDHWHY421/video/index.m3u8#第02集$https://v14.qdhdcate.com/yyv14/202508/23/iKazsuSZX724/video/index.m3u8#第03集$https://v13.qdhdcate.com/yyv13/202508/31/4qX2dRm64624/video/index.m3u8#第04集$https://v13.qdhdcate.com/yyv13/202509/06/awVDjW83U224/video/index.m3u8
烈火战车第二季,https://v14.qdhdcate.com/yyv14/202508/02/mAWJ114sQn20/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202508/03/0j6QEWxUN523/video/index.m3u8#第03集$https://v13.qdhdcate.com/yyv13/202508/04/HBPBtNhXyr20/video/index.m3u8#第04集$https://v14.qdhdcate.com/yyv14/202508/07/b9YpQjMuJa20/video/index.m3u8#第05集$https://v14.qdhdcate.com/yyv14/202508/08/2hzwCaqaA424/video/index.m3u8#第06集$https://v14.qdhdcate.com/yyv14/202508/14/imR1rQHfMB23/video/index.m3u8#第07集$https://v14.qdhdcate.com/yyv14/202508/15/QbzKDih5xX21/video/index.m3u8#第08集$https://v13.qdhdcate.com/yyv13/202508/21/qShrqTLPq823/video/index.m3u8#第09集$https://v14.qdhdcate.com/yyv14/202508/23/p2jLBSRXvD19/video/index.m3u8#第10集$https://v13.qdhdcate.com/yyv13/202508/29/z3sYZC3kVm20/video/index.m3u8#第11集$https://v14.qdhdcate.com/yyv14/202508/29/5YAAGh11vd21/video/index.m3u8#第12集$https://v14.qdhdcate.com/yyv14/202508/29/CFiJZcfFYQ20/video/index.m3u8
柏拉图关系第二季,https://v14.qdhdcate.com/yyv14/202508/06/n0KPcj9Za923/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202508/06/ep6RtXGXM319/video/index.m3u8#第03集$https://v14.qdhdcate.com/yyv14/202508/13/UQ3qsuZeAg21/video/index.m3u8#第04集$https://v14.qdhdcate.com/yyv14/202508/20/AH2Nv2KqDX22/video/index.m3u8#第05集$https://v13.qdhdcate.com/yyv13/202508/27/UtYGfV2qKQ21/video/index.m3u8#第06集$https://v13.qdhdcate.com/yyv13/202509/03/Nn6PDhyL9k21/video/index.m3u8
异形：地球第一季,https://v14.qdhdcate.com/yyv14/202508/13/4jHcmqreNw19/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202508/13/ir2C0ZwX8T23/video/index.m3u8#第03集$https://v13.qdhdcate.com/yyv13/202508/20/0x3fYsSHUe19/video/index.m3u8#第04集$https://v13.qdhdcate.com/yyv13/202508/27/7PjwcLQE8V24/video/index.m3u8#第05集$https://v14.qdhdcate.com/yyv14/202509/03/JmGjCXZZi019/video/index.m3u8
隔壁夫妇第二季,https://v13.qdhdcate.com/yyv13/202508/30/gqz0hQTPqj20/video/index.m3u8#第02集$https://v14.qdhdcate.com/yyv14/202508/30/H12hgD2Gpu23/video/index.m3u8#第03集$https://v14.qdhdcate.com/yyv14/202508/30/E4xJru3SPV24/video/index.m3u8#第04集$https://v13.qdhdcate.com/yyv13/202508/30/WHStmkV7UN21/video/index.m3u8#第05集$https://v14.qdhdcate.com/yyv14/202508/30/VRHZ37Xkh322/video/index.m3u8#第06集$https://v14.qdhdcate.com/yyv14/202508/30/q7iS4ei8KX23/video/index.m3u8
上载新生第四季,https://v14.qdhdcate.com/yyv14/202508/25/mkLF6az0R020/video/index.m3u8#第02集$https://v14.qdhdcate.com/yyv14/202508/25/e4x4UiPhJM21/video/index.m3u8#第03集$https://v14.qdhdcate.com/yyv14/202508/25/R33SZwdCTh21/video/index.m3u8#第04集$https://v14.qdhdcate.com/yyv14/202508/25/pjVT5Zwjvh21/video/index.m3u8
阿卡普高第四季,https://v13.qdhdcate.com/yyv13/202507/23/0fbFjrXKE222/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202507/23/4pp3hh8Lrd24/video/index.m3u8#第03集$https://v13.qdhdcate.com/yyv13/202507/30/X082iVEH6g20/video/index.m3u8#第04集$https://v13.qdhdcate.com/yyv13/202508/06/HxT9kkfb1E23/video/index.m3u8#第05集$https://v14.qdhdcate.com/yyv14/202508/13/JsKsvccx3k24/video/index.m3u8#第06集$https://v13.qdhdcate.com/yyv13/202508/20/reRw7d44Y722/video/index.m3u8#第07集$https://v13.qdhdcate.com/yyv13/202508/27/LqHyewRrN122/video/index.m3u8#第08集$https://v14.qdhdcate.com/yyv14/202509/03/VsEqJzB2N121/video/index.m3u8
断林镇谜案第十一季,https://v13.qdhdcate.com/yyv13/202508/09/hZbiv4wiN421/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202508/25/W38NViUfZk22/video/index.m3u8
研究院2025,https://v13.qdhdcate.com/yyv13/202507/13/PZpMfHKT4u23/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202507/13/yw8eqHD9LE24/video/index.m3u8#第03集$https://v14.qdhdcate.com/yyv14/202507/20/8XfE7DyBkg20/video/index.m3u8#第04集$https://v13.qdhdcate.com/yyv13/202507/28/U2QKStAHyU19/video/index.m3u8#第05集$https://v14.qdhdcate.com/yyv14/202508/03/4qNC9BDHmQ23/video/index.m3u8#第06集$https://v13.qdhdcate.com/yyv13/202508/10/EB3ety4Rqa24/video/index.m3u8#第07集$https://v13.qdhdcate.com/yyv13/202508/17/6YZ4BnFi6g21/video/index.m3u8#第08集$https://v14.qdhdcate.com/yyv14/202508/25/ye1PZE7nyB24/video/index.m3u8
图书馆员：下一章第一季,https://v14.qdhdcate.com/yyv14/202508/16/S3KATSDsXJ21/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202508/16/3dRmeZp7BC23/video/index.m3u8#第03集$https://v13.qdhdcate.com/yyv13/202508/16/LTfueCdVDQ22/video/index.m3u8#第04集$https://v14.qdhdcate.com/yyv14/202508/16/8ZSt1xq19c21/video/index.m3u8#第05集$https://v14.qdhdcate.com/yyv14/202508/16/J6D1BqGFTM24/video/index.m3u8#第06集$https://v14.qdhdcate.com/yyv14/202508/16/Pa9wvyDScc20/video/index.m3u8#第07集$https://v14.qdhdcate.com/yyv14/202508/16/nS0sDjuvSP21/video/index.m3u8#第08集$https://v14.qdhdcate.com/yyv14/202508/16/JcprSrGtEH19/video/index.m3u8#第09集$https://v14.qdhdcate.com/yyv14/202508/16/RbT0GP5hSJ21/video/index.m3u8#第10集$https://v14.qdhdcate.com/yyv14/202508/16/abBXm1MYDC23/video/index.m3u8#第11集$https://v14.qdhdcate.com/yyv14/202508/16/vHreMrp7Jh19/video/index.m3u8#第12集$https://v13.qdhdcate.com/yyv13/202508/16/8wA2UX6qYi20/video/index.m3u8
复生2025,https://v13.qdhdcate.com/yyv13/202506/21/prpmZG8dut23/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202506/21/TwjGHy5LkR24/video/index.m3u8#第03集$https://v14.qdhdcate.com/yyv14/202506/29/EgiqVCEJJS23/video/index.m3u8#第04集$https://v14.qdhdcate.com/yyv14/202507/05/1VHBAVe6nu24/video/index.m3u8#第05集$https://v14.qdhdcate.com/yyv14/202507/12/qLBJW4XTb424/video/index.m3u8#第06集$https://v13.qdhdcate.com/yyv13/202507/19/xn4fUssYt520/video/index.m3u8#第07集$https://v13.qdhdcate.com/yyv13/202507/26/jtwd5q59Hj22/video/index.m3u8#第08集$https://v14.qdhdcate.com/yyv14/202508/02/PRZ9uzZHja23/video/index.m3u8#第09集$https://v13.qdhdcate.com/yyv13/202508/10/X1kxZxTQGU23/video/index.m3u8#第10集$https://v13.qdhdcate.com/yyv13/202508/16/v6CH0RZZGq20/video/index.m3u8
就这样...第三季,https://v13.qdhdcate.com/yyv13/202505/30/43VtAbrh6e23/video/index.m3u8#第02集$https://v14.qdhdcate.com/yyv14/202506/06/0N0vrudPvX23/video/index.m3u8#第03集$https://v13.qdhdcate.com/yyv13/202506/13/KAr0UXViev24/video/index.m3u8#第04集$https://v13.qdhdcate.com/yyv13/202506/20/1ZKYT2D1wW23/video/index.m3u8#第05集$https://v13.qdhdcate.com/yyv13/202506/27/sT6CDQVjZz20/video/index.m3u8#第06集$https://v14.qdhdcate.com/yyv14/202507/04/2SyVtxtuV019/video/index.m3u8#第07集$https://v14.qdhdcate.com/yyv14/202507/11/3uP1aumiTw24/video/index.m3u8#第08集$https://v13.qdhdcate.com/yyv13/202507/18/qdeVPAsAts19/video/index.m3u8#第09集$https://v14.qdhdcate.com/yyv14/202507/25/n7wgR3BNWL20/video/index.m3u8#第10集$https://v13.qdhdcate.com/yyv13/202508/01/QaKrMGWMhX22/video/index.m3u8#第11集$https://v13.qdhdcate.com/yyv13/202508/08/aWqFk2inUS23/video/index.m3u8#第12集$https://v14.qdhdcate.com/yyv14/202508/15/C7uUtce13j23/video/index.m3u8
烟火寻凶,https://v13.qdhdcate.com/yyv13/202506/27/BFQUwCcTWn21/video/index.m3u8#第02集$https://v14.qdhdcate.com/yyv14/202506/27/fapCKhjerB24/video/index.m3u8#第03集$https://v14.qdhdcate.com/yyv14/202507/04/xh1fMBx8pE20/video/index.m3u8#第04集$https://v14.qdhdcate.com/yyv14/202507/11/FXNL7zf2D424/video/index.m3u8#第05集$https://v13.qdhdcate.com/yyv13/202507/18/zkg9BtLpH723/video/index.m3u8#第06集$https://v13.qdhdcate.com/yyv13/202507/25/r0u6tbYmfa19/video/index.m3u8#第07集$https://v13.qdhdcate.com/yyv13/202508/01/unHjuS6DyV21/video/index.m3u8#第08集$https://v13.qdhdcate.com/yyv13/202508/08/xAiBGGx48X20/video/index.m3u8#第09集$https://v13.qdhdcate.com/yyv13/202508/15/aNwgS7A0Kc20/video/index.m3u8
凯伦·皮里第二季,https://v14.qdhdcate.com/yyv14/202508/13/y5gUD8p61c23/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202508/13/g0k08hNRXE23/video/index.m3u8#第03集$https://v13.qdhdcate.com/yyv13/202508/13/1kJ90Fq0n722/video/index.m3u8
联邦调查局第七季,https://v4.qdhdcate.com/yyv4/202410/22/XXyTny68QM22/video/index.m3u8#第02集$https://v5.qdhdcate.com/yyv5/202503/03/VKMkNdnQyC24/video/index.m3u8#第03集$https://v5.qdhdcate.com/yyv5/202503/03/G9ufAVw2Hh24/video/index.m3u8#第04集$https://v4.qdhdcate.com/yyv4/202503/03/wzn6fxEMsB21/video/index.m3u8#第05集$https://v3.qdhdcate.com/yyv3/202503/03/bi5UvpQEUA21/video/index.m3u8#第06集$https://v6.qdhdcate.com/yyv6/202503/03/2JDTD9sT5X19/video/index.m3u8#第07集$https://v2.qdhdcate.com/yyv2/202503/03/ENP4k8i0gN22/video/index.m3u8#第08集$https://v5.qdhdcate.com/yyv5/202503/03/30TVpKTGd721/video/index.m3u8#第09集$https://v3.qdhdcate.com/yyv3/202503/03/bV3JMvEfxe21/video/index.m3u8#第10集$https://v6.qdhdcate.com/yyv6/202503/03/mMimUhxsVK24/video/index.m3u8#第11集$https://v3.qdhdcate.com/yyv3/202503/13/DyvH7L0BPd22/video/index.m3u8#第12集$https://v5.qdhdcate.com/yyv5/202503/19/xsye2WA5mA19/video/index.m3u8#第13集$https://v5.qdhdcate.com/yyv5/202503/26/ZqvWhUBLV523/video/index.m3u8#第14集$https://v5.qdhdcate.com/yyv5/202504/04/X3H3gL9nxJ19/video/index.m3u8#第15集$https://v4.qdhdcate.com/yyv4/202504/09/5DXSaqHfAj20/video/index.m3u8#第16集$https://v13.qdhdcate.com/yyv13/202506/04/RCMd99Pzc821/video/index.m3u8#第17集$https://v14.qdhdcate.com/yyv14/202506/04/sS68jNdE6d23/video/index.m3u8#第18集$https://v13.qdhdcate.com/yyv13/202506/04/VNqK008RKm19/video/index.m3u8#第19集$https://v13.qdhdcate.com/yyv13/202506/12/KyWPvYCSR419/video/index.m3u8#第20集$https://v13.qdhdcate.com/yyv13/202508/12/hpXeZcxm0822/video/index.m3u8#第21集$https://v13.qdhdcate.com/yyv13/202508/12/C6TuNcmeNP23/video/index.m3u8#第22集$https://v14.qdhdcate.com/yyv14/202508/12/8nD1UJuVUn21/video/index.m3u8
蝴蝶风暴,https://v14.qdhdcate.com/yyv14/202508/13/ZYELC1UY6619/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202508/13/kqUEHwt06E20/video/index.m3u8#第03集$https://v14.qdhdcate.com/yyv14/202508/13/EdJK4bDZQt22/video/index.m3u8#第04集$https://v14.qdhdcate.com/yyv14/202508/13/huPyST2eYc19/video/index.m3u8#第05集$https://v14.qdhdcate.com/yyv14/202508/13/WYbeBD5WKB24/video/index.m3u8#第06集$https://v13.qdhdcate.com/yyv13/202508/13/LiWu24UvhM21/video/index.m3u8
外星居民第四季,https://v14.qdhdcate.com/yyv14/202506/08/kUC2jFrHmc22/video/index.m3u8#第02集$https://v14.qdhdcate.com/yyv14/202506/14/Xts0LBtgpY24/video/index.m3u8#第03集$https://v14.qdhdcate.com/yyv14/202506/21/cxsvkPNpHL22/video/index.m3u8#第04集$https://v14.qdhdcate.com/yyv14/202506/29/pyvbdsxK1t23/video/index.m3u8#第05集$https://v13.qdhdcate.com/yyv13/202507/05/ucZHCFmrbk21/video/index.m3u8#第06集$https://v13.qdhdcate.com/yyv13/202507/12/ze1VyZQpZf24/video/index.m3u8#第07集$https://v14.qdhdcate.com/yyv14/202507/20/Pmu20E0cQ520/video/index.m3u8#第08集$https://v14.qdhdcate.com/yyv14/202507/27/vE7cLAKyZe20/video/index.m3u8#第09集$https://v14.qdhdcate.com/yyv14/202508/04/Vf5UFH9iQ819/video/index.m3u8#第10集$https://v13.qdhdcate.com/yyv13/202508/11/pUpmzL0Ehs22/video/index.m3u8
奇探佩辛丝第一季,https://v13.qdhdcate.com/yyv13/202508/09/WB6TWMUg4b22/video/index.m3u8#第02集$https://v14.qdhdcate.com/yyv14/202508/09/Czd1EnPiRN20/video/index.m3u8#第03集$https://v14.qdhdcate.com/yyv14/202508/09/sa4R1wigfs23/video/index.m3u8#第04集$https://v14.qdhdcate.com/yyv14/202508/09/cG2uK6uqep22/video/index.m3u8#第05集$https://v14.qdhdcate.com/yyv14/202508/09/MUmE4ZB3Qc24/video/index.m3u8#第06集$https://v13.qdhdcate.com/yyv13/202508/09/sJ7q1X1URk23/video/index.m3u8
妈妈是杀手,https://v14.qdhdcate.com/yyv14/202507/27/NKfr0mm0gM19/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202507/27/7jxjctM5fD21/video/index.m3u8#第03集$https://v14.qdhdcate.com/yyv14/202508/02/MyHZVDc9nD21/video/index.m3u8#第04集$https://v13.qdhdcate.com/yyv13/202508/02/YGZ0TMXkgt19/video/index.m3u8#第05集$https://v13.qdhdcate.com/yyv13/202508/09/Skbm8t6FQ320/video/index.m3u8#第06集$https://v13.qdhdcate.com/yyv13/202508/09/hiyNwe9hKQ20/video/index.m3u8
